Yeast Wed1 TrpA1	Yeast R75B10 TrpA1	Yeast DopR2-R70G12 TrpA1	Yeast DopR1-R72B03 TrpA1	Yeast R32A06 TrpA1	Yeast emptyG4 TrpA1	Sucrose Wed1 TrpA1	Sucrose R75B10 TrpA1	Sucrose DopR2-R70G12 TrpA1	Sucrose DopR1-R72B03 TrpA1	Sucrose R32A06 TrpA1	Sucrose emptyG4 TrpA1												
83	176	60	393	14	63	38	79	88	10	13	12
304	45	26	86	41	22	107	432	72	54	44	78
19	106	28	73	113	348	61	78	85	169	42	71
119	288	33	21	71	25	61	16	93	67	69	37
89	34	125	41	65	116	104	102	118	19	83	73
141	43	47	64	14	22	73	108	57	20	56	13
230	41	19	32	25	8	355	513	38	116	33	234
66	844	28	29	16	87	85	31	26	28	26	63
47	69	946	64	89	72	16	9	111	113	29	48
102	414	43	67	172	15	53	36	45	63	59	13
39	34	19	93	18	15	46	38	26	42	142	9
88	1475	108	143	61	76	102	124	94	75	40	31
97	12	12	18	47	32	55	205	82	189	23	71
144	12	143	86	32	18	179	139	8	30	30	36
21	645	8	37	31	71	76	28	82	32	16	105
108	175	18	31	23	16	75	113	79	42	21	57
16	71	43	47	36	110	73	73	18	16	53	92
40	65	49	66	23	30	77	110	10	59	297	33
20	80	19	223	91	92	177	NaN	55	447	156	258
21	34	609	1245	132	29	50	NaN	152	28	56	47
47	644	63	33	118	171	592	NaN	79	57	32	61
61	473	89	NaN	436	1309	34	NaN	98	68	45	NaN
46	109	93	NaN	143	63	101	NaN	62	157	NaN	NaN
119	NaN	420	NaN	112	414	114	NaN	60	67	NaN	NaN
54	NaN	NaN	NaN	NaN	NaN	46	NaN	NaN	NaN	NaN	NaN
38	NaN	NaN	NaN	NaN	NaN	59	NaN	NaN	NaN	NaN	NaN
65	NaN	NaN	NaN	NaN	NaN	87	NaN	NaN	NaN	NaN	NaN
843	NaN	NaN	NaN	NaN	NaN	265	NaN	NaN	NaN	NaN	NaN
125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
