Yeast THkir 18C	Yeast THCKir 18C	Yeast WED1Kir 18C	Yeast THDkir 18C	Yeast emptyGal4kir 18C	Yeast THkir 30	Yeast THCKir 30C	Yeast WED1Kir 30C	Yeast THDkir 30C	Yeast emptyGal4kir 30C	Sucrose THkir 18C	Sucrose THCKir 18C	Sucrose WED1Kir 18C	Sucrose THDkir 18C	Sucrose emptyGal4kir 18C	Sucrose THkir 30	Sucrose THCKir 30C	Sucrose WED1Kir 30C	Sucrose THDkir 30C	Sucrose emptyGal4kir 30C																				
391	272	1610	1134	2027	249	2246	6108	2652	1700	90	312	186	131	166	449	260	44	69	204
301	166	2620	1734	2399	3525	410	9983	357	2798	393	233	120	240	150	559	187	51	371	449
551	1743	340	27	3974	757	4236	5088	1210	1190	149	82	116	61	452	546	13	24	720	325
137	718	680	1153	13	1753	187	3971	281	2099	363	90	353	24	144	730	723	164	318	192
379	2008	368	925	5532	4752	31	4255	344	13	839	392	18	29	155	187	222	79	141	241
874	2635	346	1195	2731	1450	2841	3391	127	1293	150	547	107	324	729	167	143	71	40	36
55	488	1733	1939	3959	478	8488	2050	124	4566	132	426	544	103	491	933	479	63	137	87
151	565	538	791	1246	91	3251	245	451	7463	270	76	698	124	430	123	696	149	478	95
125	856	1257	926	165	299	2212	4339	924	6686	404	207	146	27	211	1484	91	63	51	102
1611	688	105	180	2006	1115	278	7653	1028	6436	280	45	43	243	53	1148	21	66	141	48
1333	962	102	3128	4648	3712	518	4403	667	3433	188	119	104	88	374	719	419	114	36	225
61	689	924	115	3452	818	1702	63	645	5564	36	18	421	28	533	738	126	137	112	211
84	24	375	653	697	54	1067	6924	609	835	107	74	37	109	711	314	434	68	199	28
46	775	117	169	1946	74	5658	3039	14	3369	55	32	79	47	24	508	664	99	36	662
875	97	1099	297	105	43	2256	1645	4040	3053	251	22	319	47	188	203	697	173	302	87
1444	413	1185	106	350	1293	913	937	89	4125	170	64	299	691	49	270	207	468	258	446
86	121	2426	1220	2726	2836	1175	3225	1524	3782	20	53	115	140	316	550	837	164	69	262
1363	219	1189	17	1677	65	282	2009	232	5139	75	318	95	26	507	732	559	84	130	143
218	2365	1399	950	2414	103	652	1652	2171	4643	192	19	164	147	763	545	22	66	417	72
4062	1897	1813	25	2848	271	1756	3722	30	5246	221	20	36	139	434	948	345	190	96	76
2340	1994	1151	256	416	152	1301	5546	73	2287	34	25	553	306	307	453	454	28	196	175
851	457	1910	71	1267	NaN	9	3922	311	5115	112	38	116	39	213	213	606	51	61	273
2153	392	768	40	1692	NaN	1472	1716	4769	5618	285	19	170	101	19	NaN	NaN	69	328	238
1478	1092	882	1994	1262	NaN	162	1941	54	276	476	474	216	200	67	NaN	NaN	282	169	473
1571	154	1152	249	2032	NaN	823	4804	101	2321	137	167	444	218	75	NaN	NaN	NaN	23	288
96	92	3808	270	2597	NaN	340	2644	5426	2729	757	625	454	116	258	NaN	NaN	NaN	NaN	436
791	455	3229	778	1787	NaN	3735	4099	298	699	529	281	385	71	61	NaN	NaN	NaN	NaN	387
653	92	3183	474	NaN	NaN	431	2859	134	102	386	360	338	139	NaN	NaN	NaN	NaN	NaN	295
790	393	277	1440	NaN	NaN	NaN	2599	105	783	197	121	143	84	NaN	NaN	NaN	NaN	NaN	307
2743	1424	90	158	NaN	NaN	NaN	NaN	NaN	166	96	248	100	15	NaN	NaN	NaN	NaN	NaN	246
835	2307	28	229	NaN	NaN	NaN	NaN	NaN	68	54	33	151	NaN	NaN	NaN	NaN	NaN	NaN	468
NaN	574	1008	494	NaN	NaN	NaN	NaN	NaN	558	197	388	82	NaN	NaN	NaN	NaN	NaN	NaN	520
NaN	1656	177	536	NaN	NaN	NaN	NaN	NaN	430	NaN	220	55	NaN	NaN	NaN	NaN	NaN	NaN	205
NaN	496	45	42	NaN	NaN	NaN	NaN	NaN	581	NaN	NaN	95	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	718	NaN	NaN	NaN	NaN	NaN	NaN	2318	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
