Yeast WED1Kir 18C	Yeast R32A08Kir 18C	Yeast emptyGal4Kir 18C	Yeast WED1Kir 30C	Yeast R32A08Kir 30C	Yeast emptyGal4Kir 30C	Sucrose WED1Kir 18C	Sucrose R32A08Kir 18C	Sucrose emptyGal4Kir 18C	Sucrose WED1Kir 30C	Sucrose R32A08Kir 30C	Sucrose emptyGal4Kir 30C												
357	204	178	73	17	86	183	51	144	18	72	269
458	206	187	168	49	45	291	290	100	62	25	41
358	221	257	35	516	123	378	56	167	15	143	84
117	321	97	191	9	42	55	161	107	360	126	60
259	170	207	178	114	28	422	68	234	219	26	33
330	1444	492	42	17	97	143	29	206	90	169	46
547	792	221	132	187	168	284	119	71	70	14	54
356	445	152	340	9	97	83	170	232	706	42	31
404	32	173	69	54	125	234	39	83	250	51	8
150	387	345	494	172	109	17	228	499	163	287	19
183	1595	350	217	13	36	100	273	700	58	37	107
122	964	543	64	316	49	96	118	79	661	67	143
67	479	400	286	94	117	94	95	186	112	168	264
184	179	134	24	111	92	240	155	56	171	19	30
213	417	488	74	93	68	251	285	318	34	269	126
516	109	288	80	134	1161	153	18	86	25	21	220
143	107	194	60	33	146	66	206	518	37	81	30
516	258	150	75	214	29	38	71	150	27	20	144
288	270	411	360	162	179	63	191	340	23	10	355
151	36	265	149	992	113	203	115	19	118	87	18
365	560	450	136	12	1452	245	120	37	14	NaN	42
511	163	353	23	53	31	275	186	236	120	NaN	50
1682	971	125	913	30	77	201	40	97	284	NaN	104
219	485	31	221	1077	34	351	110	44	371	NaN	57
452	43	402	25	53	1341	158	249	747	26	NaN	14
416	471	109	1225	55	64	42	60	84	36	NaN	77
38	315	149	91	351	NaN	247	48	NaN	83	NaN	NaN
414	1013	100	44	19	NaN	298	22	NaN	212	NaN	NaN
156	210	1671	25	620	NaN	109	364	NaN	45	NaN	NaN
8	14	554	211	29	NaN	43	32	NaN	100	NaN	NaN
322	303	69	NaN	NaN	NaN	165	16	NaN	59	NaN	NaN
2145	344	22	NaN	NaN	NaN	NaN	171	NaN	498	NaN	NaN
291	840	NaN	NaN	NaN	NaN	NaN	310	NaN	NaN	NaN	NaN
NaN	71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	131	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
